ID_LONG,CONDITION_ID,TRIAL_NB,MAIN_SUPPORT,PRE_LIKES,POST_LIKES,AGE,FB_MODALITY,FB_OPTIMALITY,VALENCE,CONTEXT,PRE_FB_MODALITY,PRE_FB_OPTIMALITY,PRE_VALENCE,PRE_CONTEXT
3,2,6,68,79,76,24,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
3,2,7,73,87,74,24,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
3,2,8,76,70,37,24,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
3,3,9,65,85,70,24,Tactile,Optimal,Positive,Social,Visual,Optimal,Positive,Individual
3,3,10,79,81,27,24,Tactile,Optimal,Positive,Social,Visual,Optimal,Positive,Individual
3,3,11,82,18,53,24,Tactile,Optimal,Positive,Social,Visual,Suboptimal,Positive,Individual
3,3,12,86,80,34,24,Tactile,Optimal,Positive,Social,Visual,Suboptimal,Positive,Individual
3,4,13,53,81,72,24,Tactile,Suboptimal,Positive,Social,Visual,Optimal,Positive,Individual
3,4,14,68,80,73,24,Tactile,Suboptimal,Positive,Social,Visual,Optimal,Positive,Individual
3,4,15,88,76,69,24,Tactile,Suboptimal,Positive,Social,Visual,Suboptimal,Positive,Individual
3,4,16,89,74,72,24,Tactile,Suboptimal,Positive,Social,Visual,Suboptimal,Positive,Individual
3,5,17,63,78,84,24,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
3,5,18,69,81,70,24,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
3,5,19,77,81,75,24,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
3,5,20,74,92,70,24,Tactile,Optimal,Negative,Individual,Tactile,Optimal,Positive,Social
